[2026-07-13 00:29:00.308] [info]  loadAudioBuffer: ArrayBuffer received, size=24952876 bytes. Parsing WAV...
[2026-07-13 00:29:00.308] [info]  [Renderer Info] loadAudioBuffer: ArrayBuffer received, size=24952876 bytes. Parsing WAV...
[2026-07-13 00:29:00.308] [info]  parseWav: channels=2, sampleRate=44100, bits=16, samples/ch=6238208
[2026-07-13 00:29:00.309] [info]  [Renderer Info] parseWav: channels=2, sampleRate=44100, bits=16, samples/ch=6238208
[2026-07-13 00:29:00.352] [info]  loadAudioBuffer: Parsed successfully for F:\Kareoke\Kareoke\PeachyKareoke\vocal\2.wav, duration=141.46s
[2026-07-13 00:29:00.352] [info]  [Renderer Info] loadAudioBuffer: Parsed successfully for F:\Kareoke\Kareoke\PeachyKareoke\vocal\2.wav, duration=141.46s
[2026-07-13 00:29:00.353] [info]  loadBuffers: Vocal loaded. duration=141.46s, channels=2
[2026-07-13 00:29:00.353] [info]  [Renderer Info] loadBuffers: Vocal loaded. duration=141.46s, channels=2
[2026-07-13 00:29:00.354] [info]  loadBuffers: Complete for "2"
[2026-07-13 00:29:00.355] [info]  [Renderer Info] loadBuffers: Complete for "2"
[2026-07-13 00:29:01.814] [info]  startPlayback: Initiated
[2026-07-13 00:29:01.814] [info]  [Renderer Info] startPlayback: Initiated
[2026-07-13 00:29:01.815] [info]  startPlayback: Ensuring AudioContexts are built
[2026-07-13 00:29:01.815] [info]  [Renderer Info] startPlayback: Ensuring AudioContexts are built
[2026-07-13 00:29:01.816] [info]  startPlayback: Stopping existing sources
[2026-07-13 00:29:01.816] [info]  [Renderer Info] startPlayback: Stopping existing sources
[2026-07-13 00:29:01.816] [info]  startPlayback: Connecting backing track to audience
[2026-07-13 00:29:01.816] [info]  [Renderer Info] startPlayback: Connecting backing track to audience
[2026-07-13 00:29:01.817] [info]  startPlayback: Connecting backing track to monitor
[2026-07-13 00:29:01.817] [info]  [Renderer Info] startPlayback: Connecting backing track to monitor
[2026-07-13 00:29:01.817] [info]  startPlayback: Connecting vocal track to monitor
[2026-07-13 00:29:01.818] [info]  [Renderer Info] startPlayback: Connecting vocal track to monitor
[2026-07-13 00:29:01.818] [info]  startPlayback: Starting Mic Input
[2026-07-13 00:29:01.818] [info]  [Renderer Info] startPlayback: Starting Mic Input
[2026-07-13 00:29:01.819] [info]  User input: Clicked button "Play"
